agency_cd,site_no,datetime,tz_cd,,110247_00060,110247_00060_cd
USGS,3145483,2020/1/2,14:30,EST,78.6,A
USGS,3145483,2020/1/2,14:45,EST,78.6,A
USGS,3145483,2020/1/2,15:00,EST,78.6,A
USGS,3145483,2020/1/2,15:15,EST,78.6,A
USGS,3145483,2020/1/2,15:30,EST,77.2,A
USGS,3145483,2020/1/2,15:45,EST,78.6,A
USGS,3145483,2020/1/2,16:00,EST,77.2,A
USGS,3145483,2020/1/2,16:15,EST,77.2,A
USGS,3145483,2020/1/2,16:30,EST,77.2,A
USGS,3145483,2020/1/2,16:45,EST,77.2,A
USGS,3145483,2020/1/2,17:00,EST,77.2,A
USGS,3145483,2020/1/2,17:15,EST,77.2,A
USGS,3145483,2020/1/2,17:30,EST,77.2,A
USGS,3145483,2020/1/2,17:45,EST,75.8,A
USGS,3145483,2020/1/2,18:00,EST,77.2,A
USGS,3145483,2020/1/2,18:15,EST,75.8,A
USGS,3145483,2020/1/2,18:30,EST,75.8,A
USGS,3145483,2020/1/2,18:45,EST,75.8,A
USGS,3145483,2020/1/2,19:00,EST,74.4,A
USGS,3145483,2020/1/2,19:15,EST,75.8,A
USGS,3145483,2020/1/2,19:30,EST,75.8,A
USGS,3145483,2020/1/2,19:45,EST,75.8,A
USGS,3145483,2020/1/2,20:00,EST,74.4,A
USGS,3145483,2020/1/2,20:15,EST,74.4,A
USGS,3145483,2020/1/2,20:30,EST,74.4,A
USGS,3145483,2020/1/2,20:45,EST,74.4,A
USGS,3145483,2020/1/2,21:00,EST,74.4,A
USGS,3145483,2020/1/2,21:15,EST,74.4,A
USGS,3145483,2020/1/2,21:30,EST,74.4,A
USGS,3145483,2020/1/2,21:45,EST,74.4,A
USGS,3145483,2020/1/2,22:00,EST,74.4,A
USGS,3145483,2020/1/2,22:15,EST,74.4,A
USGS,3145483,2020/1/2,22:30,EST,74.4,A
USGS,3145483,2020/1/2,22:45,EST,73.1,A
USGS,3145483,2020/1/2,23:00,EST,73.1,A
USGS,3145483,2020/1/2,23:15,EST,74.4,A
USGS,3145483,2020/1/2,23:30,EST,73.1,A
USGS,3145483,2020/1/2,23:45,EST,73.1,A
USGS,3145483,2020/1/3,00:00,EST,74.4,A
USGS,3145483,2020/1/3,00:15,EST,74.4,A
USGS,3145483,2020/1/3,00:30,EST,74.4,A
USGS,3145483,2020/1/3,00:45,EST,74.4,A
USGS,3145483,2020/1/3,01:00,EST,74.4,A
USGS,3145483,2020/1/3,01:15,EST,75.8,A
USGS,3145483,2020/1/3,01:30,EST,75.8,A
USGS,3145483,2020/1/3,01:45,EST,75.8,A
USGS,3145483,2020/1/3,02:00,EST,77.2,A
USGS,3145483,2020/1/3,02:15,EST,77.2,A
USGS,3145483,2020/1/3,02:30,EST,77.2,A
USGS,3145483,2020/1/3,02:45,EST,78.6,A
USGS,3145483,2020/1/3,03:00,EST,80,A
USGS,3145483,2020/1/3,03:15,EST,80,A
USGS,3145483,2020/1/3,03:30,EST,81.4,A
USGS,3145483,2020/1/3,03:45,EST,82.9,A
USGS,3145483,2020/1/3,04:00,EST,84.3,A
USGS,3145483,2020/1/3,04:15,EST,87.3,A
USGS,3145483,2020/1/3,04:30,EST,90.2,A
USGS,3145483,2020/1/3,04:45,EST,93.3,A
USGS,3145483,2020/1/3,05:00,EST,96.3,A
USGS,3145483,2020/1/3,05:15,EST,101,A
USGS,3145483,2020/1/3,05:30,EST,109,A
USGS,3145483,2020/1/3,05:45,EST,121,A
USGS,3145483,2020/1/3,06:00,EST,138,A
USGS,3145483,2020/1/3,06:15,EST,166,A
